comment,label
"Mọi người cho em hỏi, học phí trường mình kỳ này tăng hay sao ấy ạ?",0
Đăng ký học lại ở đâu vậy chúng m?,0
Bạn nào đang tìm việc làm thêm không? Quán trà chanh gần trường mình đang cần người.,0
VAY TIỀN ONLINE - KHÔNG GẶP MẶT - CÓ TIỀN SAU 5 PHÚT. Chỉ cần CMND/CCCD. Lãi suất thấp nhất thị trường.,1
Bài này copy trên mạng chứ sáng tạo cc gì.,0
"Pass áo đồng phục PTIT 100k, ib nhanh giúp mình nha!",1
"ib zalo 0395542221 để nhận tài liệu ôn thi miễn phí nè",1
"Pass bomber xanh rêu size L, còn mới 99% nha mn",1
"mình pass lại máy tính bảng samsung tab a8, ai cần ib ngay nhé",1
"bán laptop cũ i5 gen8 8gb 256ssd giá sv 4tr8 ib",1
"Combo áo thun + sổ tay sinh viên chỉ 150k, ib ngay!",1
"Pass áo thể dục nam size XL, 120k ạ",1
"mình bán áo khoác bomber đen như mới, ib nha",1
"Zalo mình 0376654098 nha mn cần gì cứ nhắn",1
"ai cần key office 365 chính chủ ib mình nhé",1
"Pass đồng phục full set áo quần thun mới tinh, ib nhận liền",1
"Áo bomber size M 250k, còn mới nguyên tag ạ",1
"Pass balo ptit còn mới, 200k free ship Hà Đông",1
"ib mình mua giúp nha, còn 1 cái cuối cùng luôn á",1
"Pass áo khoác lông cừu ấm 100k ib ngay giúp",1
"Cần bán điện thoại Redmi Note 12 còn bảo hành, ai lấy ib",1
"ib zalo 0963244421 để xem thêm hình ảnh áo nha",1
"Pass quần thể dục 80k áo 100k combo 150k nha",1
"bán tài khoản Canva Pro 1 năm 70k ib",1
"mình nhận cài Windows 11 và Office 2019 giá rẻ, ib nha",1
"ib mình mua combo áo + sổ tay sv 200k nha",1
"Pass áo sơ mi trắng PTIT 70k còn mới ạ",1
"Cần pass áo khoác bomber xanh đen ib nhận ngay",1
"Áo thể dục nam size M pass lại 120k nha mn",1
"Pass balo đen kiểu mới, 150k ib nhanh kẻo hết",1
"bán card viettel mệnh giá 100k 90k ib",1
"ib zalo 0985226644 để nhận key bản quyền office",1
"Pass áo hoodie PTIT new tag 180k ib",1
"Pass áo khoác jean 250k, còn mới ạ",1
"bán áo khoác gió 100k, ib lấy luôn ạ",1
"combo áo polo + sổ tay + huy hiệu chỉ 200k nha",1
"Pass áo PTIT form rộng, 90k còn 1 cái",1
"ai cần mua bomber nam nữ đều có nha, ib",1
"Pass áo thể dục 120k, quần 80k, combo 180k nha",1
"Zalo mình 0379963122 có sẵn nhiều mẫu áo PTIT nha",1
"Pass áo khoác đồng phục 200k ib liền tay",1
"bán áo bomber trắng 230k new 100% ib",1
"Pass quần áo CLB PTIT 100k, ib nha mn",1
"ib mình zalo 0976215523 để nhận ưu đãi pass áo nhé",1
"Pass balo chống nước PTIT giá rẻ 170k ib",1
Phạm Linh tìm cho t,0
Nguyễn Hiếu anh này rán gà ngon á :)),0
Hải An anh này chuyên phát biểu hội nghị quốc gia,0
"nhanh, VỘI",0
M8 được không:)),0
a này,0
a lày nghe giọng tùm lum luôn,0
anh Dac Quoc Ngọc Tuấn nhé,0
Nếu bạn là nam thì mình nhận nhé,0
"NA Quan ah này e nhé, trầm mà trầm ai chính luôn xởiii",0
Đặng Minh Đức anh này m85,0
bạn Phạm Sơn nhé ạ,0
"Trần Duy Anh giọng trầm, đá bóng giỏi, fan chè",0
Tiếc là mình m8,0
Mấy a m7 sang Cam dễ làm việc hơn. Giọng trầm thì lừa đảo tốt lắm,0
Nguyễn Sơn Trường Duc Anh m7 tròn luôn kìa,0
tiếc quá a Hai Dang m8,0
Viet Anh Nghiêm Bảo Minh Châu Nguyễn Huy Nghiên Nguyễn Thế Nhã Nhật Hùng,0
Hùng Cường a này cận m7 giọng chầm,0
Có a Trần Tiến Đạt nhé m7 nma 30 cân cả cớt,0
"Trần Công Lực chú bù cho ah thêm ít chiều cao đi, a cũng muốn lắm r",0
Nguyễn Tùng Dương trời lạnh rồi,0
Trầm ai Chính,0
Anh Nguyễn Hoàng Khánh nhé,0
Lê Văn Thương gt cho anh Đỗ Năng Cường đẹp trai giọng trầm. Đi chơi tặng em bài thơ luôn,0
Tuan Anh kìa ứng đi,0
Thành Lộc vào việc,0
Đức Bùi Nguyễn Như Thuật vào việc đi mấy thầy,0
"Co gang len tim duoc roi lay do lam nhien lieu khat vong buoc tiet ,,,,",0
Hùng Cường a này chả khác gì Hứa Quang Hán luôn,0
Nguyễn Danh kìa thầy,0
Linhh Quang Chu ib bạn này nka,0
Có anh Duy vừa cao như cái xà vừa giọng trầm sâu lắng,0
Trần Chí Tôn vô,0
Đức Chính ứng tuyển đi bn kìa,0
Mình m8 nên trượt r,0
Mạnh Dũng anh rũng,0
Anh Nguyễn Văn Hảo em nhé,0
"Tuấn 'Anh anh này m7, Tu Pham anh này hồng hài nhi, Phạm Đức Vượng anh này cũng 7 mà là 70kg, Quang Huy anh này cũng 7 mà là m57",0
Linh Trần Phạm Tùng Dương ib 2 b này nhé,1
đồng đội bait đấy ae ơi,0
Hải Đăngg,0
"Quang Huy a này có giọng như tiếng gọi từ cõi âm, bao trầm nhé",0
Nguyễn Trọng Dũng Vũ Đào cọc cho 2 bạn,0
Anh Tuấn Lê nhé,0
tiếc quá a Nguyễn Thế Phong giọng như gái,0
Anh Nguyễn Dương nhé hứa quang hán ạ,0
Ké anh m8 ạ,0
Anh Nguyen Quy và anh Nguyễn Khánh An nhé,0
Văn Hiếu,0
ứng tuyển ạ,0
Xin ứng tuyển ạ,0
Phạm Thanh An loz mịa,0
Tạ Kiên xin ứng tuyển,0
Ducphat Pham thời m đó,0
Nguyễn Quân ê kìa,0
Minh Duy,0
"Đi với anh nhé, hứa kh làm gì",0
Minh Hoàng cơ hội thứ N của bạn kìa,0
Ơi tớ m73 đc ko cậu,0
Nghiêm Trần Hoàng Hiệp nhé anh này hẳn m8 giọng thì trầm thôi rồi,0
Anh bị lộ rồi mấy đứa ơiiii … Xem thêm,0
Mn cho e hỏi sao bài này e sai ở đâu ạ,0
count distinct theo từng số rồi order by xong having lọc ra >=3 thử đi,0
Trang nào đây ạ ?,0
xin web học bạn ơi,0
bài này mấy ông cop trên leetcode về nma bằng 1 cách thần kì nào đó không thể ac được =)),0
Trần Quang Tiến vào giúp bạn,0
Có cả web luyện sql à :))),0
ủa trường có áo hoodie à=)))),0
Cho e xem ảnh vs ạ,0
pass bn bạn ơii,1
Cho e hỏi áo này ai cx có hay sao ạ,0
"học để sau đi làm thì nên mua gaming nhé, chứ mấy cái code cơ bản thì lap nào cũng làm đx hết",0
Windows đi,0
"Làm web/app không động đến .Net thì mình thích Mac hơn tại nó nhân Unix, dùng terminal phê lòi",0
thinkpad đi bạn,0
Ôg chs game j thế,0
5570 đi :))) đang dùng 5530 thôi mà thấy thiết kế đẹp lại còn cân hầu hết tác vụ,0
mac mua đợt b2s của apple thì ngon chứ giờ mua new giá chát r bn,0
Mua Pro M1 dùng cho sướng =))),0
"Các chị chỉ có một lần, bạn ktr muộn mấy lần chẳng được",0
Kiểm tra muộn thầy cô khác: Kiểm tra muộn thầy XA:,0
tat ca la tai cac chi dep,0
Cj đẹp có ăn đc k,0
Nhiều chị tân thạc sĩ ghê,0
Lỗi này hơi lớn,0
dạ,0
m à,0
Đỗ Hồng Nhung tại chị à kkk,0
tiếc,0
Sao mà đẹp bằng chị Nguyễn Nhungg đc,0
Mai em thì môn toán rời rạc 2 rồi Em lại nghĩ về GPA của mình Hiện GPA em là 2.7 liệu em cố thì có ra trường bằng giỏi được ko ạ. Em chưa trượt môn nào ạ.,0
gpa hay cpa bro,0
"Ko hiểu sao năm nay thi trr2 khó thế, trường thích đổi mới quá vậy",0
Hưng Kim share típ đi cậu,0
"cố lên anh chị nhé, nếu k có gì thay đổi thì giờ này năm sau là tháng 6/2026 rồi",0
thi trr 90' hay 120' vậy ạ,0
ngủ đi bn,0
Mong nó là CPA,0
Cậu học năm mấy vậy,0
10 lý nhì tỉnh còn có B+ VLUD đây,0
"Hồi c3 thầy bảo lên đh toán toàn 3 4 , các em cứ nghĩ sao các ae học dốt thế",0
"9 toán thì có mẹ gì đề năm nay hơn 9 thì nể, 9 đổ xuống đừng ảo tưởng mình giỏi",0
Còn giải tích 2 nữa,0
"Mik 8,5 đây cx thấy có quá khó đâu nhỉ",0
:)) HSG QG vào đây mà k học còn rụng nói gì dăm ba cái điểm THPT,0
tưởng có mỗi mình nguu giải tích 1 tại ở lớp thầy hỏi gì thầy hỏi hiểu ko toàn thấy gật đầu,0
Trần My hóa ra ae mik ko cô đơn,0
Trịnh Xuân Lộc khó,0
Cheems Minh vậy mà 7 A+,0
"9 toán 2025 thật sự là không có gì hot, hãy ngưng ảo tưởng ( tao cũng 9 toán năm nay nên hiểu )",0
Oke em,0
"9,6 toán 2024 còn khổ nhục với gt2 này",0
Đệ tử của Trương Anh Ngoặc à,0
Do e gà thôi chứ như anh Quý Minh thì đã khác,0
"Nguyễn Khánh tôi Casio đến 9.2 toán mà còn 4.1, suýt trượt",0
Cao T. Kim Ngân mời thần đồng toán học,0
"Tôi từng 9,4 toán 2023 chỉ thua 200 thằng khác mà tôi thấy bạn nói đúng",0
trg mik thiếu j 9 toán đâu hh,0
"Nguyễn Văn Nhất tôi có ô anh, thi chuyên lý mà còn tạch 3 lần vật lý 3 này:))",0
9 toán thì chắc chỉ đủ qua môn. Phải như a Hieu Vu mới làm trùm được môn này.,0
"Gì vậy bro, mấy em lớp 9 đọc xong đề giải tích 1 PTIT còn cười khanh khách. Có mỗi vài cái dạng bài lặp đi lặp lại",0
9 thì bình thường quá,0
"ông b tôi Đinh Quang Hưng 9,5 thpt mà vẫn a+ gtich đại số đây b",0
Thế hóa ra là con tôi nói đúng á,0
tôi nghe ông anh họ đang học thạc sĩ bảo là toán ptit là nặng nhất sau mỗi hust thôi :)),0
Làm chủ giải tích trong 1 đêm,0
Anh bị lộ rồi mấy đứa ơiiii … Xem thêm,0
Mình pass hóa đơn đồng phục size L ai cần inb ạ,1
Sắp tới có tb đk đợt vét đấy e,0
"ib, anh tặng lại áo thể dục nhé",1
khi nào mới phát đồng phục vậy ạ,0
"Học Thị giác máy tính thầy Sự em cũng thấy nhiều dl như riviu dưới hình thiệt, em cũng cố gắng hoàn thành dl nhưng vẫn thấy lo cho bài kiểm tra giữa kỳ và cuối kỳ ak:( Anh chị cho em xin rviviu đề giữa kỳ môn Thị giác máy tính của thầy và đề cuối kỳ môn này có khó không ạa? Em cảm ơn mn ạ",0
này xem được ở đâu z,0
"Thầy sự cho điểm dễ mà thấp nhất cũng 7 rồi, làm đủ bài tập thầy cho là đc",0
Xin rv môn công nghệ thầy Sự dạy với ạ,0
D22 à Wtf tôi học thấy bthg mà thầy dễ vl Nói thế khác gì ông méo đi học Cuối kỳ thi báo cáo nhé Ông học khoa nào đa phương tiện nhẹ nhàng mà,0
Thầy Sự mà khó tính nghiêm khắc á??,0
Xem ở đâu vậy,0
Luu Duc Anh Sinh viên ngài răng 2 kỳ cho ý kiến đi,0
Thầy sự dễ tính nhất r mà b,0
"Bạn có chắc đang rv thầy Sự ko vậy :))), thang điểm max là 10 ko thì thầy 11₫ r :))",0
Phật sống ptit chứ đùa điểm ko ai dễ như ông này Nhể Hải Đăng,0
"Phật sống đấy bạn =))), cứ chăm hoàn thành đủ deadline là 8-9-10 thôi",0
Yêu thầy lắm Phương Vũ,0
"Thầy Sự làm lắm btap, học cực nhm công nhận điểm tp okela nha, sau thầy còn nâng cho nữa",0
